Language,Family,Branch,First-language(L1) speakers,Second-language(L2) speakers,Total speakers(L1+L2)
English(excl. creole languages),Indo-European,Germanic,380 million,1.077 billion[5],1.456 billion
"Mandarin Chinese(incl. Standard Chinese, but excl. other varieties)",Sino-Tibetan,Sinitic,939 million,199 million[6],1.138 billion
Hindi(excl. Urdu),Indo-European,Indo-Aryan,345 million,266 million[7],609 million
Spanish(excl. creole languages),Indo-European,Romance,485 million,74 million[8],559 million
French(excl. creole languages),Indo-European,Romance,81 million,229 million[9],310 million
Modern Standard Arabic(excl. dialects),Afro-Asiatic,Semitic,0[a],274 million[11],274 million
Bengali,Indo-European,Indo-Aryan,234 million,39 million[12],273 million
Portuguese,Indo-European,Romance,236 million,27 million [13],264 million
Russian,Indo-European,Balto-Slavic,147 million,108 million[14],255 million
Urdu(excl. Hindi),Indo-European,Indo-Aryan,71 million,161 million[15],232 million
Indonesian(excl. other Malay),Austronesian,Malayo-Polynesian,44 million,155 million[16],199 million
Standard German,Indo-European,Germanic,75 million,58 million[17],133 million
Japanese,Japonic,—,123 million,0.2 million[18],123 million
Nigerian Pidgin,English Creole,Krio,5 million,116 million[19],121 million
Egyptian Arabic(excl. other Arabic dialects),Afro-Asiatic,Semitic,77 million,25 million[20],102 million
Marathi,Indo-European,Indo-Aryan,83 million,16 million[21],99 million
Telugu,Dravidian,South-Central,83 million,13 million[22],96 million
Turkish,Turkic,Oghuz,84 million,6 million[23],90 million
Tamil,Dravidian,Southern,79 million,8 million[24],87 million
Yue Chinese(incl. Cantonese),Sino-Tibetan,Sinitic,86 million,1 million[25],87 million
Vietnamese,Austroasiatic,Vietic,85 million,1 million[26],86 million
Wu Chinese(incl. Shanghainese),Sino-Tibetan,Sinitic,83 million,0.1 million[27],83 million
Tagalog[b],Austronesian,Malayo-Polynesian,29 million,54 million[28],83 million
Korean,Koreanic,—,82 million,—[29],82 million
Iranian Persian(excl. other Persian dialects),Indo-European,Iranian,57 million,21 million[30],79 million
Hausa,Afro-Asiatic,Chadic,52 million,27 million[31],79 million
Swahili,Niger–Congo,Bantu,16 million,55 million[32],72 million
Javanese,Austronesian,Malayo-Polynesian,—,—[33],68 million
Italian,Indo-European,Romance,65 million,3 million[34],68 million
Western Punjabi(excl. Eastern Punjabi),Indo-European,Indo-Aryan,—,—[35],67 million
Gujarati,Indo-European,Indo-Aryan,57 million,5 million[36],62 million
Thai,Kra–Dai,Zhuang–Tai,21 million,40 million[37],61 million
Kannada,Dravidian,Southern,44 million,15 million[38],59 million
Amharic,Afro-Asiatic,Semitic,32 million,25 million[39],58 million
Bhojpuri,Indo-European,Indo-Aryan,52 million,0.2 million[40],52 million
Eastern Punjabi(excl. Western Punjabi),Indo-European,Indo-Aryan,48 million,4 million[41],52 million
Min Nan Chinese(incl. Hokkien),Sino-Tibetan,Sinitic,50 million,0.4 million[42],50 million
Jin Chinese,Sino-Tibetan,Sinitic,—,—[43],48 million
Levantine Arabic(excl. other Arabic dialects),Afro-Asiatic,Semitic,47 million,0.4 million[44],48 million
Yoruba,Niger–Congo,Atlantic–Congo,44 million,2 million[45],46 million
English(excl. creole languages),Indo-European,Germanic,380 million,1.077 billion[5],1.456 billion
"Mandarin Chinese(incl. Standard Chinese, but excl. other varieties)",Sino-Tibetan,Sinitic,939 million,199 million[6],1.138 billion
Hindi(excl. Urdu),Indo-European,Indo-Aryan,345 million,266 million[7],609 million
Spanish(excl. creole languages),Indo-European,Romance,485 million,74 million[8],559 million
French(excl. creole languages),Indo-European,Romance,81 million,229 million[9],310 million
Modern Standard Arabic(excl. dialects),Afro-Asiatic,Semitic,0[a],274 million[11],274 million
Bengali,Indo-European,Indo-Aryan,234 million,39 million[12],273 million
Portuguese,Indo-European,Romance,236 million,27 million [13],264 million
